recipe_index,recipe_name,ingredient,products_found,ingredient_normalized
,,,,
14,Black-Eyed Pea Burritos,dried black-eyed peas,1.0,dried black-eyed peas
19,Pork & Shrimp Spring Roll With Peanut Sauce,fresh cilantro stems,0.0,cilantro
19,Pork & Shrimp Spring Roll With Peanut Sauce,unsalted dry roasted peanuts,1.0,unsalted dry roasted peanuts
20,Strawberry-Rhubarb Pie,fresh rhubarb,1.0,fresh rhubarb
26,"Rhubarb Pie With Vanilla, Strawberries and Lemon Balm",tapioca flour,1.0,tapioca flour
27,"Roast Cauliflower With Almond, Pomegranate Seeds and Tahini Sauc",Quick & Easy Tahini Sauce,0.0,tahini sauce
28,Mint Ginger Chicken Liver,fresh mint leaves,1.0,fresh mint leaves
30,Carrot Cake Slice,sultana,0.0,golden raisins
41,Cuban Pork and Sweet Potato Stew,fresh lime juice,1.0,fresh lime juice
43,Cashew Butter and Strawberry Topped English Muffin,smooth cashew butter,1.0,smooth cashew butter
52,Low-Fat Burgundy Beef & Vegetable Stew,frozen sugar snap peas,1.0,frozen sugar snap peas
57,Brown Rice and Vegetable Pilaf,marjoram,1.0,marjoram
58,Braised Chicken with Onions and Tomatoes,black cardamom pods,0.0,black cardamom
58,Braised Chicken with Onions and Tomatoes,chicken pieces,1.0,chicken pieces
62,Champagne Punch,frozen limeade concentrate,1.0,frozen limeade concentrate
64,Caramel Sultana Square,sultana,0.0,golden raisins
64,Caramel Sultana Square,golden syrup,1.0,golden syrup
66,Chicken Flambe,portabella mushroom caps,1.0,portabella mushroom caps
70,Cola Fruit and Date Loaf,lemon rind,1.0,lemon rind
84,Thai Beef Salad,Belgian endive,1.0,Belgian endive
84,Thai Beef Salad,fresh lime juice,1.0,fresh lime juice
88,Thai Citrus Chicken Salad,bean sprouts,1.0,bean sprouts
99,Moist Carrot and Raisin Walnut Loaf,golden syrup,1.0,golden syrup
99,Moist Carrot and Raisin Walnut Loaf,self raising flour,1.0,self raising flour
107,Drunken Noodles,red capsicum,0.0,red bell pepper
107,Drunken Noodles,sambal oelek,1.0,sambal oelek
108,Orange Roughy Margarita,fresh lime juice,1.0,fresh lime juice
113,Spinach Capsicum and Feta Pizza,red capsicum,0.0,red bell pepper
122,Vegan Protein Bars,flax seed meal,1.0,flax seed meal
125,Tennessee Tea [mocktail],,,
128,Absolut Pitstop,Absolut mandarin vodka,1.0,Absolut mandarin vodka
130,Santa Fe-Tastic Chicken Tortilla Soup,monterey jack pepper cheese,1.0,monterey jack pepper cheese
146,Polish Tartar Sauce,small caper,1.0,small caper
149,Shadow's Barbecue Sauce,Jump up and Smack Your Mom Hot Sauce,0.0,hot sauce
150,Favorite Homemade Buttermilk Biscuits,self-rising flour,1.0,self-rising flour
163,Tangy Potato Salad,,,
172,Burger Elegance With Mushroom Sauce,monterey jack pepper cheese,1.0,monterey jack pepper cheese
179,Cream Cheese Brownies With Chocolate Chips,self-rising flour,1.0,self-rising flour
183,Divine Dutch Apple Pie,self-rising flour,1.0,self-rising flour
194,Chicken and Sun-Dried Tomato Bruschetta,boneless skinless chicken breast halves,1.0,boneless skinless chicken breast halves
199,No-Bake Carob Cookies,carob powder,1.0,carob powder
203,Chicken Breasts Lombardi,boneless skinless chicken breast halves,1.0,boneless skinless chicken breast halves
215,Clam - Lobster Bake,live lobsters,1.0,live lobsters
223,Thai Fish Curry,fresh cilantro stems,0.0,cilantro
223,Thai Fish Curry,fresh lemongrass,1.0,fresh lemongrass
224,Lemon Chicken,skinless chicken breast halves,1.0,skinless chicken breast halves
227,Sour Cream Carrot Cake,self raising flour,1.0,self raising flour
238,Greek Salad,anchovy fillets,1.0,anchovy fillets
